driverId,week,hours-logged,miles-logged
107,19,53,2500
41,32,64,2000
65,37,73,2300
50,26,75,2400
109,45,52,4000
80,48,62,2300
30,33,57,2300
30,7,56,3000
11,33,72,2700
17,18,79,1500
24,30,59,3500
29,48,70,300
94,2,75,1100
48,22,64,2300
10,9,76,600
36,46,52,1800
67,46,53,3600
33,20,53,200
30,14,54,600
57,18,55,2000
15,25,51,2000
38,51,66,2200
99,43,66,0
26,43,68,1000
42,31,57,2600
97,16,61,600
77,11,67,600
18,22,70,2500
44,35,74,2300
33,35,70,2400
28,40,51,3900
26,4,52,3300
70,42,66,2600
61,23,66,200
27,6,61,3800
50,36,80,300
37,1,77,2200
96,50,67,4000
106,39,77,1600
14,26,70,800
21,15,68,900
22,7,75,2900
13,17,68,1400
22,4,79,2600
84,24,58,3800
51,30,64,3500
106,25,67,3600
68,36,79,1500
47,11,56,2300
19,23,53,3000
18,46,57,600
38,30,57,3400
37,16,71,900
11,2,68,3200
69,24,64,700
109,20,80,4000
25,4,79,200
34,8,63,2300
39,6,60,700
93,17,51,1900
98,28,63,3900
84,1,60,1900
101,36,66,400
46,35,61,3900
72,36,67,4000
17,11,71,100
85,38,63,2100
79,29,79,2400
72,17,79,3000
37,47,70,100
37,2,51,200
100,39,70,3500
12,29,73,800
40,3,59,2800
90,2,70,3000
31,10,69,2700
20,13,58,2600
23,12,66,500
10,12,78,2100
86,40,58,100
17,30,55,600
39,4,76,700
85,47,77,3900
28,39,80,800
55,1,53,3800
95,3,64,3700
57,46,60,400
12,52,75,1400
56,42,64,3400
85,21,57,1800
36,1,57,200
99,13,79,3900
66,7,67,3400
24,2,62,2100
18,25,61,900
39,4,50,1200
23,32,73,300
40,31,66,1800
11,51,80,500
76,36,69,3000
15,31,54,1000
52,22,77,1700
109,45,66,300
54,37,67,2200
69,7,57,1400
108,11,65,3700
10,33,74,3500
67,21,56,2500
43,26,59,3000
34,25,61,0
71,24,78,1900
30,48,71,700
76,52,54,2200
103,23,76,1300
83,46,55,3000
52,19,66,0
58,31,64,2300
57,36,79,1700
109,44,71,600
40,1,63,3700
109,36,59,2200
69,9,52,1500
102,45,78,3000
100,3,76,1800
47,21,60,2600
24,1,76,800
52,23,60,1100
42,25,76,1800
71,37,54,3300
68,41,64,1400
82,25,62,3100
104,37,75,3000
16,14,72,3500
87,51,79,3000
58,8,76,1600
25,50,53,1700
86,35,58,900
63,39,53,500
91,31,75,3900
35,32,66,1700
27,46,52,2100
100,48,57,1900
87,32,55,2000
66,15,72,100
109,5,51,800
43,28,65,1900
84,33,76,2400
34,38,57,4000
18,16,66,200
25,49,79,1300
